[2025-02-23 17:18:55 | 0xe3d5...db6f] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:55 | 0xe3d5...db6f] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:55 | 0x7DDA...A056] 🔹 Processing wallet: 0x7DDA...A056
[2025-02-23 17:18:55 | 0x7DDA...A056] 🔹 Requesting challenge...
[2025-02-23 17:19:00 | 0x7DDA...A056] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:00 | 0x7DDA...A056] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:00 | 0x0917...B93e] 🔹 Processing wallet: 0x0917...B93e
[2025-02-23 17:19:00 | 0x0917...B93e] 🔹 Requesting challenge...
[2025-02-23 17:19:05 | 0x0917...B93e] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:05 | 0x0917...B93e] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:05 | 0xbF21...8350] 🔹 Processing wallet: 0xbF21...8350
[2025-02-23 17:19:05 | 0xbF21...8350] 🔹 Requesting challenge...
[2025-02-23 17:19:11 | 0xbF21...8350] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:11 | 0xbF21...8350] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:11 | 0xB3Db...C0AD] 🔹 Processing wallet: 0xB3Db...C0AD
[2025-02-23 17:19:11 | 0xB3Db...C0AD] 🔹 Requesting challenge...
[2025-02-23 17:19:16 | 0xB3Db...C0AD] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:16 | 0xB3Db...C0AD] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:16 | 0x0345...a14D] 🔹 Processing wallet: 0x0345...a14D
[2025-02-23 17:19:16 | 0x0345...a14D] 🔹 Requesting challenge...
[2025-02-23 17:19:21 | 0x0345...a14D] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:21 | 0x0345...a14D] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:21 | 0x3A64...a6fc] 🔹 Processing wallet: 0x3A64...a6fc
[2025-02-23 17:19:21 | 0x3A64...a6fc] 🔹 Requesting challenge...
[2025-02-23 17:19:26 | 0x3A64...a6fc] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:26 | 0x3A64...a6fc] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:26 | 0xf461...4c0d] 🔹 Processing wallet: 0xf461...4c0d
[2025-02-23 17:19:26 | 0xf461...4c0d] 🔹 Requesting challenge...
[2025-02-23 17:19:31 | 0xf461...4c0d] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:31 | 0xf461...4c0d] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:31 | 0xd57D...275E] 🔹 Processing wallet: 0xd57D...275E
[2025-02-23 17:19:31 | 0xd57D...275E] 🔹 Requesting challenge...
[2025-02-23 17:19:36 | 0xd57D...275E] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:36 | 0xd57D...275E] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:36 | 0x93DD...549c] 🔹 Processing wallet: 0x93DD...549c
[2025-02-23 17:19:36 | 0x93DD...549c] 🔹 Requesting challenge...
[2025-02-23 17:19:41 | 0x93DD...549c] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:41 | 0x93DD...549c] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:41 | 0xb7b9...8eE5] 🔹 Processing wallet: 0xb7b9...8eE5
[2025-02-23 17:19:41 | 0xb7b9...8eE5] 🔹 Requesting challenge...
[2025-02-23 17:19:46 | 0xb7b9...8eE5] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:46 | 0xb7b9...8eE5] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:46 | 0xEf58...EB45] 🔹 Processing wallet: 0xEf58...EB45
[2025-02-23 17:19:46 | 0xEf58...EB45] 🔹 Requesting challenge...
[2025-02-23 17:19:51 | 0xEf58...EB45] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:51 | 0xEf58...EB45] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:51 | 0xcB9e...f723] 🔹 Processing wallet: 0xcB9e...f723
[2025-02-23 17:19:51 | 0xcB9e...f723] 🔹 Requesting challenge...
[2025-02-23 17:19:56 | 0xcB9e...f723] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:56 | 0xcB9e...f723] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:19:56 | 0xd1A3...6774] 🔹 Processing wallet: 0xd1A3...6774
[2025-02-23 17:19:56 | 0xd1A3...6774] 🔹 Requesting challenge...
[2025-02-23 17:20:01 | 0xd1A3...6774] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:01 | 0xd1A3...6774] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:01 | 0xC55b...A87e] 🔹 Processing wallet: 0xC55b...A87e
[2025-02-23 17:20:01 | 0xC55b...A87e] 🔹 Requesting challenge...
[2025-02-23 17:20:06 | 0xC55b...A87e] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:06 | 0xC55b...A87e] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:06 | 0x1047...6814] 🔹 Processing wallet: 0x1047...6814
[2025-02-23 17:20:06 | 0x1047...6814] 🔹 Requesting challenge...
[2025-02-23 17:20:11 | 0x1047...6814] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:11 | 0x1047...6814] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:11 | 0x0860...1985] 🔹 Processing wallet: 0x0860...1985
[2025-02-23 17:20:11 | 0x0860...1985] 🔹 Requesting challenge...
[2025-02-23 17:20:17 | 0x0860...1985] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:17 | 0x0860...1985] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:17 | 0x3ca5...01A6] 🔹 Processing wallet: 0x3ca5...01A6
[2025-02-23 17:20:17 | 0x3ca5...01A6] 🔹 Requesting challenge...
[2025-02-23 17:20:22 | 0x3ca5...01A6] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:22 | 0x3ca5...01A6] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:22 | 0x7f39...0eCa] 🔹 Processing wallet: 0x7f39...0eCa
[2025-02-23 17:20:22 | 0x7f39...0eCa] 🔹 Requesting challenge...
[2025-02-23 17:20:27 | 0x7f39...0eCa] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:27 | 0x7f39...0eCa] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:27 | 0xF997...8bEB] 🔹 Processing wallet: 0xF997...8bEB
[2025-02-23 17:20:27 | 0xF997...8bEB] 🔹 Requesting challenge...
[2025-02-23 17:20:32 | 0xF997...8bEB] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:32 | 0xF997...8bEB] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:32 | 0x2682...f4e4] 🔹 Processing wallet: 0x2682...f4e4
[2025-02-23 17:20:32 | 0x2682...f4e4] 🔹 Requesting challenge...
[2025-02-23 17:20:37 | 0x2682...f4e4] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:37 | 0x2682...f4e4] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:37 | 0xeD7e...ecDD] 🔹 Processing wallet: 0xeD7e...ecDD
[2025-02-23 17:20:37 | 0xeD7e...ecDD] 🔹 Requesting challenge...
[2025-02-23 17:20:42 | 0xeD7e...ecDD] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:20:42 | 0xeD7e...ecDD] ❌ Error: ❌ Failed to get challenge: Forbidden
